Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Mar 09 2019 - 12:30pm,Crystal Palace,Brighton & Hove Albion,1,2,Craig Pawson
Mar 09 2019 - 3:00pm,Cardiff City,West Ham United,2,0,Graham Scott
Mar 09 2019 - 3:00pm,Huddersfield Town,AFC Bournemouth,0,2,Anthony Taylor
Mar 09 2019 - 3:00pm,Leicester City,Fulham,3,1,David Coote
Mar 09 2019 - 3:00pm,Newcastle United,Everton,3,2,Lee Mason
Mar 09 2019 - 3:00pm,Southampton,Tottenham Hotspur,2,1,Kevin Friend
Mar 09 2019 - 5:30pm,Manchester City,Watford,3,1,Paul Tierney
Mar 10 2019 - 12:00pm,Liverpool,Burnley,4,2,Andre Marriner
Mar 10 2019 - 2:05pm,Chelsea,Wolverhampton Wanderers,1,1,Michael Oliver
Mar 10 2019 - 4:30pm,Arsenal,Manchester United,2,0,Jonathan Moss
Mar 16 2019 - 3:00pm,AFC Bournemouth,Newcastle United,2,2,Mike Dean
Mar 16 2019 - 3:00pm,Burnley,Leicester City,1,2,Michael Oliver
Mar 16 2019 - 3:00pm,West Ham United,Huddersfield Town,4,3,Jonathan Moss
Mar 17 2019 - 2:15pm,Fulham,Liverpool,1,2,Craig Pawson
Mar 17 2019 - 4:30pm,Everton,Chelsea,2,0,Anthony Taylor
Mar 30 2019 - 12:30pm,Fulham,Manchester City,0,2,Kevin Friend
Mar 30 2019 - 3:00pm,Brighton & Hove Albion,Southampton,0,1,Michael Oliver
Mar 30 2019 - 3:00pm,Burnley,Wolverhampton Wanderers,2,0,Chris Kavanagh
Mar 30 2019 - 3:00pm,Crystal Palace,Huddersfield Town,2,0,Lee Probert
Mar 30 2019 - 3:00pm,Leicester City,AFC Bournemouth,2,0,Lee Mason
Mar 30 2019 - 3:00pm,Manchester United,Watford,2,1,Stuart Attwell
Mar 30 2019 - 5:30pm,West Ham United,Everton,0,2,Paul Tierney
Mar 31 2019 - 1:05pm,Cardiff City,Chelsea,1,2,Craig Pawson
Mar 31 2019 - 3:30pm,Liverpool,Tottenham Hotspur,2,1,Martin Atkinson
Apr 01 2019 - 7:00pm,Arsenal,Newcastle United,2,0,Anthony Taylor
Apr 02 2019 - 6:45pm,Watford,Fulham,4,1,Roger East
Apr 02 2019 - 6:45pm,Wolverhampton Wanderers,Manchester United,2,1,Mike Dean
Apr 03 2019 - 6:45pm,Chelsea,Brighton & Hove Albion,3,0,Graham Scott
Apr 03 2019 - 6:45pm,Tottenham Hotspur,Crystal Palace,2,0,Andre Marriner
Apr 03 2019 - 6:45pm,Manchester City,Cardiff City,2,0,Jonathan Moss
